                  name                  |               setting                | unit |                             category                              |                                                               short_desc                                                                |                                                                                                                                                                                                                                 extra_desc                                                                                                                                                                                                                                  |      context      | vartype |        source        |   min_val   |   max_val    |                                    enumvals                                    |            boot_val            |              reset_val               |              sourcefile              | sourceline | pending_restart 
 log_rotation_age                       | 1440                                 | min  | Reporting and Logging / Where to Log                              | Sets the amount of time to wait before forcing log file rotation.                                                                       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | sighup            | integer | default              | 0           | 35791394     |                                                                                | 1440                           | 1440                                 |                                      |            | f
 log_rotation_size                      | 10240                                | kB   | Reporting and Logging / Where to Log                              | Sets the maximum size a log file can reach before being rotated.                                                                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | sighup            | integer | default              | 0           | 2097151      |                                                                                | 10240                          | 10240                                |                                      |            | f
 log_startup_progress_interval          | 10000                                | ms   | Reporting and Logging / When to Log                               | Time between progress updates for long-running startup operations.                                                                      | 0 turns this feature off.                                                                                                                                                                                                                                                                                                                                                                                                                                                   | sighup            | integer | default              | 0           | 2147483647   |                                                                                | 10000                          | 10000                                |                                      |            | f
 log_statement                          | none                                 |      | Reporting and Logging / What to Log                               | Sets the type of statements logged.                                                                                                     |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | superuser         | enum    | default              |             |              | {none,ddl,mod,all}                                                             | none                           | none                                 |                                      |            | f
 log_statement_sample_rate              | 1                                    |      | Reporting and Logging / When to Log                               | Fraction of statements exceeding log_min_duration_sample to be logged.                                                                  | Use a value between 0.0 (never log) and 1.0 (always log).                                                                                                                                                                                                                                                                                                                                                                                                                   | superuser         | real    | default              | 0           | 1            |                                                                                | 1                              | 1                                    |                                      |            | f
 log_statement_stats                    | off                                  |      | Statistics / Monitoring                                           | Writes cumulative performance statistics to the server log.                                                                             |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | superuser         | bool    | default              |             |              |                                                                                | off                            | off                                  |                                      |            | f
 log_temp_files                         | -1                                   | kB   | Reporting and Logging / What to Log                               | Log the use of temporary files larger than this number of kilobytes.                                                                    | Zero logs all files. The default is -1 (turning this feature off).                                                                                                                                                                                                                                                                                                                                                                                                          | superuser         | integer | default              | -1          | 2147483647   |                                                                                | -1                             | -1                                   |                                      |            | f
 log_timezone                           | Europe/Prague                        |      | Reporting and Logging / What to Log                               | Sets the time zone to use in log messages.                                                                                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | sighup            | string  | configuration file   |             |              |                                                                                | GMT                            | Europe/Prague                        | /mnt/raid/bench-data/postgresql.conf |        586 | f
 log_transaction_sample_rate            | 0                                    |      | Reporting and Logging / When to Log                               | Sets the fraction of transactions from which to log all statements.                                                                     | Use a value between 0.0 (never log) and 1.0 (log all statements for all transactions).                                                                                                                                                                                                                                                                                                                                                                                      | superuser         | real    | default              | 0           | 1            |                                                                                | 0                              | 0                                    |                                      |            | f
 log_truncate_on_rotation               | off                                  |      | Reporting and Logging / Where to Log                              | Truncate existing log files of same name during log rotation.                                                                           |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | sighup            | bool    | default              |             |              |                                                                                | off                            | off                                  |                                      |            | f
 logging_collector                      | off                                  |      | Reporting and Logging / Where to Log                              | Start a subprocess to capture stderr output and/or csvlogs into log files.                                                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | postmaster        | bool    | default              |             |              |                                                                                | off                            | off                                  |                                      |            | f
 logical_decoding_work_mem              | 65536                                | kB   | Resource Usage / Memory                                           | Sets the maximum memory to be used for logical decoding.                                                                                | This much memory can be used by each internal reorder buffer before spilling to disk.                                                                                                                                                                                                                                                                                                                                                                                       | user              | integer | default              | 64          | 2147483647   |                                                                                | 65536                          | 65536                                |                                      |            | f
 maintenance_io_concurrency             | 10                                   |      | Resource Usage / Asynchronous Behavior                            | A variant of effective_io_concurrency that is used for maintenance work.                                                                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | user              | integer | default              | 0           | 1000         |                                                                                | 10                             | 10                                   |                                      |            | f
 maintenance_work_mem                   | 65536                                | kB   | Resource Usage / Memory                                           | Sets the maximum memory to be used for maintenance operations.                                                                          | This includes operations such as VACUUM and CREATE INDEX.                                                                                                                                                                                                                                                                                                                                                                                                                   | user              | integer | default              | 1024        | 2147483647   |                                                                                | 65536                          | 65536                                |                                      |            | f
 max_connections                        | 100                                  |      | Connections and Authentication / Connection Settings              | Sets the maximum number of concurrent connections.                                                                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | postmaster        | integer | configuration file   | 1           | 262143       |                                                                                | 100                            | 100                                  | /mnt/raid/bench-data/postgresql.conf |         65 | f
 max_files_per_process                  | 1000                                 |      | Resource Usage / Kernel Resources                                 | Sets the maximum number of simultaneously open files for each server process.                                                           |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | postmaster        | integer | default              | 64          | 2147483647   |                                                                                | 1000                           | 1000                                 |                                      |            | f
 max_function_args                      | 100                                  |      | Preset Options                                                    | Shows the maximum number of function arguments.                                                                                         |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | internal          | integer | default              | 100         | 100          |                                                                                | 100                            | 100                                  |                                      |            | f
 max_identifier_length                  | 63                                   |      | Preset Options                                                    | Shows the maximum identifier length.                                                                                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | internal          | integer | default              | 63          | 63           |                                                                                | 63                             | 63                                   |                                      |            | f
 max_index_keys                         | 32                                   |      | Preset Options                                                    | Shows the maximum number of index keys.                                                                                                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | internal          | integer | default              | 32          | 32           |                                                                                | 32                             | 32                                   |                                      |            | f
 max_locks_per_transaction              | 64                                   |      | Lock Management                                                   | Sets the maximum number of locks per transaction.                                                                                       | The shared lock table is sized on the assumption that at most max_locks_per_transaction * max_connections distinct objects will need to be locked at any one time.                                                                                                                                                                                                                                                                                                          | postmaster        | integer | default              | 10          | 2147483647   |                                                                                | 64                             | 64                                   |                                      |            | f
 max_logical_replication_workers        | 4                                    |      | Replication / Subscribers                                         | Maximum number of logical replication worker processes.                                                                                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | postmaster        | integer | default              | 0           | 262143       |                                                                                | 4                              | 4                                    |                                      |            | f
 max_parallel_maintenance_workers       | 0                                    |      | Resource Usage / Asynchronous Behavior                            | Sets the maximum number of parallel processes per maintenance operation.                                                                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | user              | integer | configuration file   | 0           | 1024         |                                                                                | 2                              | 0                                    | /mnt/raid/bench-data/postgresql.conf |        191 | f
 max_parallel_workers                   | 8                                    |      | Resource Usage / Asynchronous Behavior                            | Sets the maximum number of parallel workers that can be active at one time.                                                             |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | user              | integer | default              | 0           | 1024         |                                                                                | 8                              | 8                                    |                                      |            | f
 max_parallel_workers_per_gather        | 0                                    |      | Resource Usage / Asynchronous Behavior                            | Sets the maximum number of parallel processes per executor node.                                                                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | user              | integer | configuration file   | 0           | 1024         |                                                                                | 2                              | 0                                    | /mnt/raid/bench-data/postgresql.conf |        190 | f
 max_pred_locks_per_page                | 2                                    |      | Lock Management                                                   | Sets the maximum number of predicate-locked tuples per page.                                                                            | If more than this number of tuples on the same page are locked by a connection, those locks are replaced by a page-level lock.                                                                                                                                                                                                                                                                                                                                              | sighup            | integer | default              | 0           | 2147483647   |                                                                                | 2                              | 2                                    |                                      |            | f
 max_pred_locks_per_relation            | -2                                   |      | Lock Management                                                   | Sets the maximum number of predicate-locked pages and tuples per relation.                                                              | If more than this total of pages and tuples in the same relation are locked by a connection, those locks are replaced by a relation-level lock.                                                                                                                                                                                                                                                                                                                             | sighup            | integer | default              | -2147483648 | 2147483647   |                                                                                | -2                             | -2                                   |                                      |            | f
 max_pred_locks_per_transaction         | 64                                   |      | Lock Management                                                   | Sets the maximum number of predicate locks per transaction.                                                                             | The shared predicate lock table is sized on the assumption that at most max_pred_locks_per_transaction * max_connections distinct objects will need to be locked at any one time.                                                                                                                                                                                                                                                                                           | postmaster        | integer | default              | 10          | 2147483647   |                                                                                | 64                             | 64                                   |                                      |            | f
 max_prepared_transactions              | 0                                    |      | Resource Usage / Memory                                           | Sets the maximum number of simultaneously prepared transactions.                                                                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | postmaster        | integer | default              | 0           | 262143       |                                                                                | 0                              | 0                                    |                                      |            | f
 max_replication_slots                  | 10                                   |      | Replication / Sending Servers                                     | Sets the maximum number of simultaneously defined replication slots.                                                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | postmaster        | integer | default              | 0           | 262143       |                                                                                | 10                             | 10                                   |                                      |            | f
 max_slot_wal_keep_size                 | -1                                   | MB   | Replication / Sending Servers                                     | Sets the maximum WAL size that can be reserved by replication slots.                                                                    | Replication slots will be marked as failed, and segments released for deletion or recycling, if this much space is occupied by WAL on disk.                                                                                                                                                                                                                                                                                                                                 | sighup            | integer | default              | -1          | 2147483647   |                                                                                | -1                             | -1                                   |                                      |            | f
 max_stack_depth                        | 2048                                 | kB   | Resource Usage / Memory                                           | Sets the maximum stack depth, in kilobytes.                                                                                             |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | superuser         | integer | environment variable | 100         | 2147483647   |                                                                                | 100                            | 2048                                 |                                      |            | f
 max_standby_archive_delay              | 30000                                | ms   | Replication / Standby Servers                                     | Sets the maximum delay before canceling queries when a hot standby server is processing archived WAL data.                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | sighup            | integer | default              | -1          | 2147483647   |                                                                                | 30000                          | 30000                                |                                      |            | f
 max_standby_streaming_delay            | 30000                                | ms   | Replication / Standby Servers                                     | Sets the maximum delay before canceling queries when a hot standby server is processing streamed WAL data.                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | sighup            | integer | default              | -1          | 2147483647   |                                                                                | 30000                          | 30000                                |                                      |            | f
 max_sync_workers_per_subscription      | 2                                    |      | Replication / Subscribers                                         | Maximum number of table synchronization workers per subscription.                                                                       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | sighup            | integer | default              | 0           | 262143       |                                                                                | 2                              | 2                                    |                                      |            | f
 max_wal_senders                        | 10                                   |      | Replication / Sending Servers                                     | Sets the maximum number of simultaneously running WAL sender processes.                                                                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | postmaster        | integer | default              | 0           | 262143       |                                                                                | 10                             | 10                                   |                                      |            | f
 max_wal_size                           | 131072                               | MB   | Write-Ahead Log / Checkpoints                                     | Sets the WAL size that triggers a checkpoint.                                                                                           |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | sighup            | integer | configuration file   | 2           | 2147483647   |                                                                                | 1024                           | 131072                               | /mnt/raid/bench-data/postgresql.conf |        241 | f
 max_worker_processes                   | 8                                    |      | Resource Usage / Asynchronous Behavior                            | Maximum number of concurrent worker processes.                                                                                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | postmaster        | integer | default              | 0           | 262143       |                                                                                | 8                              | 8                                    |                                      |            | f
 min_dynamic_shared_memory              | 0                                    | MB   | Resource Usage / Memory                                           | Amount of dynamic shared memory reserved at startup.                                                                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | postmaster        | integer | default              | 0           | 2147483647   |                                                                                | 0                              | 0                                    |                                      |            | f
 min_parallel_index_scan_size           | 512                                  | 1kB  | Query Tuning / Planner Cost Constants                             | Sets the minimum amount of index data for a parallel scan.                                                                              | If the planner estimates that it will read a number of index pages too small to reach this limit, a parallel scan will not be considered.                                                                                                                                                                                                                                                                                                                                   | user              | integer | default              | 0           | 715827882    |                                                                                | 512                            | 512                                  |                                      |            | f
 min_parallel_table_scan_size           | 8192                                 | 1kB  | Query Tuning / Planner Cost Constants                             | Sets the minimum amount of table data for a parallel scan.                                                                              | If the planner estimates that it will read a number of table pages too small to reach this limit, a parallel scan will not be considered.                                                                                                                                                                                                                                                                                                                                   | user              | integer | default              | 0           | 715827882    |                                                                                | 8192                           | 8192                                 |                                      |            | f
 min_wal_size                           | 8192                                 | MB   | Write-Ahead Log / Checkpoints                                     | Sets the minimum size to shrink the WAL to.                                                                                             |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | sighup            | integer | configuration file   | 2           | 2147483647   |                                                                                | 80                             | 8192                                 | /mnt/raid/bench-data/postgresql.conf |        242 | f
 old_snapshot_threshold                 | -1                                   | min  | Resource Usage / Asynchronous Behavior                            | Time before a snapshot is too old to read pages changed after the snapshot was taken.                                                   | A value of -1 disables this feature.                                                                                                                                                                                                                                                                                                                                                                                                                                        | postmaster        | integer | default              | -1          | 86400        |                                                                                | -1                             | -1                                   |                                      |            | f
 parallel_leader_participation          | on                                   |      | Resource Usage / Asynchronous Behavior                            | Controls whether Gather and Gather Merge also run subplans.                                                                             | Should gather nodes also run subplans or just gather tuples?                                                                                                                                                                                                                                                                                                                                                                                                                | user              | bool    | default              |             |              |                                                                                | on                             | on                                   |                                      |            | f
 parallel_setup_cost                    | 1000                                 |      | Query Tuning / Planner Cost Constants                             | Sets the planner's estimate of the cost of starting up worker processes for parallel query.                                             |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | user              | real    | default              | 0           | 1.79769e+308 |                                                                                | 1000                           | 1000                                 |                                      |            | f
